Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Value_Pounds,Change_in_Value
04/07,3.7831099999999998,0,,,0.0,0.0,
04/07,3.78311,0,,4.440892098500626e-16,0.0,0.0,0.0
04/07,3.79019,0,,0.007079999999999753,0.0,0.0,0.0
04/07,3.79019,0,,0.0,0.0,0.0,0.0
04/07,3.79735,0,,0.007159999999999833,0.0,0.0,0.0
04/07,3.79735,0,,0.0,0.0,0.0,0.0
04/07,3.79735,0,,0.0,0.0,0.0,0.0
04/07,3.79735,0,,0.0,0.0,0.0,0.0
04/07,3.7985599999999997,0,,0.0012099999999999334,0.0,0.0,0.0
04/07,3.80099,0,,0.0024300000000003763,0.0,0.0,0.0
04/07,3.80099,0,,0.0,0.0,0.0,0.0
04/07,3.8022,0,,0.0012099999999999334,0.0,0.0,0.0
04/07,3.8022,0,0.5046112854238949,0.0,0.0,0.0,0.0
04/07,3.81067,0,0.7285011538125996,0.008469999999999978,0.0,0.0,0.0
04/07,3.81555,0,0.6690957445405044,0.0048799999999999955,0.0,0.0,0.0
04/07,3.8167800000000014,0,0.7015479435068306,0.0012300000000013966,0.0,0.0,0.0
04/07,3.818,0,0.5438002817754528,0.0012199999999986666,0.0,0.0,0.0
04/07,3.818,0,0.5438002817754528,0.0,0.0,0.0,0.0
04/07,3.818,0,0.5438002817754528,0.0,0.0,0.0,0.0
04/07,3.818,0,0.5438002817754528,0.0,0.0,0.0,0.0
04/07,3.818,0,0.5117728823554213,0.0,0.0,0.0,0.0
04/07,3.82045,0,0.5119718810099538,0.0024500000000000632,0.0,0.0,0.0
04/07,3.8216699999999997,0,0.5440687820804424,0.0012199999999995548,0.0,0.0,0.0
04/07,3.82167,0,0.5120719583399103,4.440892098500626e-16,0.0,0.0,0.0
04/07,3.82289,0,0.5441586449949964,0.0012199999999999989,0.0,0.0,0.0
04/07,3.82773,0,0.4476903011806366,0.004839999999999733,0.0,0.0,0.0
04/07,3.83014,0,0.38238261849536936,0.0024100000000002453,0.0,0.0,0.0
04/07,3.83134,0,0.38147338856309165,0.0011999999999998678,0.0,0.0,0.0
04/07,3.83134,0,0.34939759036143325,0.0,0.0,0.0,0.0
04/07,3.83134,0,0.34939759036143325,0.0,0.0,0.0,0.0
04/07,3.83134,0,0.34939759036143325,0.0,0.0,0.0,0.0
