Date,Balance
2021-07-04 23:00:00,
2021-07-04 23:30:00,
2021-07-05 00:00:00,
2021-07-05 00:30:00,
2021-07-05 01:00:00,
2021-07-05 01:30:00,
2021-07-05 02:00:00,
2021-07-05 02:30:00,
2021-07-05 03:00:00,
2021-07-05 03:30:00,
2021-07-05 04:00:00,
2021-07-05 04:30:00,
2021-07-05 05:00:00,
2021-07-05 05:30:00,
2021-07-05 06:00:00,
2021-07-05 06:30:00,
2021-07-05 07:00:00,
2021-07-05 07:30:00,
2021-07-05 08:00:00,
2021-07-05 08:30:00,
2021-07-05 09:00:00,
2021-07-05 09:30:00,
2021-07-05 10:00:00,
2021-07-05 10:30:00,
2021-07-05 11:00:00,
2021-07-05 11:30:00,
2021-07-05 12:00:00,
2021-07-05 12:30:00,
2021-07-05 13:00:00,
2021-07-05 13:30:00,
2021-07-05 14:00:00,
2021-07-05 14:30:00,
2021-07-05 15:00:00,
2021-07-05 15:30:00,
2021-07-05 16:00:00,
2021-07-05 16:30:00,
2021-07-05 17:00:00,
2021-07-05 17:30:00,
2021-07-05 18:00:00,
2021-07-05 18:30:00,
2021-07-05 19:00:00,
2021-07-05 19:30:00,
2021-07-05 20:00:00,
2021-07-05 20:30:00,
2021-07-05 21:00:00,
2021-07-05 21:30:00,
2021-07-05 22:00:00,
2021-07-05 22:30:00,
2021-07-05 23:00:00,2.17
2021-07-05 23:30:00,2.29
2021-07-06 00:00:00,3.04
2021-07-06 00:30:00,3.56
2021-07-06 01:00:00,3.8
2021-07-06 01:30:00,3.89
2021-07-06 02:00:00,3.98
2021-07-06 02:30:00,3.89
2021-07-06 03:00:00,3.8
2021-07-06 03:30:00,3.71
2021-07-06 04:00:00,3.87
2021-07-06 04:30:00,4.03
2021-07-06 05:00:00,4.2
2021-07-06 05:30:00,4.36
2021-07-06 06:00:00,4.31
2021-07-06 06:30:00,4.27
2021-07-06 07:00:00,4.23
2021-07-06 07:30:00,4.19
2021-07-06 08:00:00,4.15
2021-07-06 08:30:00,4.05
2021-07-06 09:00:00,3.28
2021-07-06 09:30:00,2.83
2021-07-06 10:00:00,2.38
2021-07-06 10:30:00,1.72
2021-07-06 11:00:00,1.66
2021-07-06 11:30:00,3.12
2021-07-06 12:00:00,4.86
2021-07-06 12:30:00,4.61
2021-07-06 13:00:00,4.45
2021-07-06 13:30:00,4.23
2021-07-06 14:00:00,4.08
2021-07-06 14:30:00,3.93
2021-07-06 15:00:00,3.64
2021-07-06 15:30:00,3.41
2021-07-06 16:00:00,3.51
2021-07-06 16:30:00,2.76
2021-07-06 17:00:00,2.94
2021-07-06 17:30:00,3.11
2021-07-06 18:00:00,2.07
2021-07-06 18:30:00,1.52
2021-07-06 19:00:00,1.54
2021-07-06 19:30:00,1.77
2021-07-06 20:00:00,2.05
2021-07-06 20:30:00,2.39
2021-07-06 21:00:00,2.16
2021-07-06 21:30:00,1.85
2021-07-06 22:00:00,1.83
2021-07-06 22:30:00,2.9
2021-07-06 23:00:00,3.16
2021-07-06 23:30:00,3.12
2021-07-07 00:00:00,2.92
2021-07-07 00:30:00,2.73
2021-07-07 01:00:00,2.56
2021-07-07 01:30:00,2.58
2021-07-07 02:00:00,2.59
2021-07-07 02:30:00,2.76
2021-07-07 03:00:00,2.93
2021-07-07 03:30:00,3.1
2021-07-07 04:00:00,3.02
2021-07-07 04:30:00,2.94
2021-07-07 05:00:00,2.86
2021-07-07 05:30:00,2.78
2021-07-07 06:00:00,2.93
2021-07-07 06:30:00,3.09
2021-07-07 07:00:00,3.24
2021-07-07 07:30:00,3.16
2021-07-07 08:00:00,2.5
2021-07-07 08:30:00,2.6
2021-07-07 09:00:00,3.25
2021-07-07 09:30:00,3.8
2021-07-07 10:00:00,4.36
2021-07-07 10:30:00,4.79
2021-07-07 11:00:00,4.62
