Date,Balance
04/07,52.90333333333334
04/07,52.841428571428565
05/07,52.30666666666667
05/07,52.0
05/07,51.97
05/07,51.94
05/07,51.91
05/07,52.05714285714286
05/07,52.20428571428571
05/07,52.35142857142856
05/07,52.498571428571424
05/07,52.64571428571429
05/07,52.792857142857144
05/07,52.94
05/07,53.056000000000004
05/07,53.172
05/07,53.288
05/07,53.403999999999996
05/07,53.52
05/07,53.7
05/07,53.99
05/07,53.965
05/07,53.94
05/07,54.13
05/07,54.32
05/07,53.36
05/07,52.4
05/07,52.57888888888889
05/07,52.757777777777775
05/07,52.93666666666667
05/07,53.11555555555553
05/07,53.294444444444466
05/07,53.47333333333333
05/07,53.65222222222222
05/07,53.831111111111106
05/07,54.01
05/07,53.98
05/07,53.95
05/07,54.99
05/07,55.30333333333334
05/07,55.28
05/07,55.22
05/07,55.17571428571429
05/07,54.8
05/07,54.97714285714285
05/07,55.165714285714294
05/07,55.28
05/07,55.31
05/07,55.07
05/07,55.13
06/07,55.34333333333333
06/07,55.55666666666667
06/07,55.77
06/07,55.83
06/07,55.8875
06/07,55.945
06/07,56.0025
06/07,56.06
06/07,56.37000000000001
06/07,56.68
06/07,56.99
06/07,57.3
06/07,57.37
06/07,57.445
06/07,57.52
06/07,57.595
06/07,57.67
06/07,57.74500000000001
06/07,57.27125
06/07,56.7975
06/07,56.32375
06/07,55.85
06/07,55.98
06/07,56.48
06/07,57.26
06/07,57.19
06/07,57.21
06/07,57.17
06/07,57.195
06/07,57.22
06/07,57.11
06/07,57.06
06/07,57.34
06/07,56.77
06/07,56.915
06/07,57.06
06/07,57.06000000000001
06/07,56.8225
06/07,56.81500000000001
06/07,56.99
06/07,57.22666666666667
06/07,57.185
06/07,57.1325
06/07,57.0175
06/07,57.10937500000001
06/07,58.21
06/07,58.228
06/07,58.246
07/07,58.264
07/07,58.282
07/07,58.33
07/07,58.405
07/07,58.48
07/07,58.708
07/07,58.93600000000001
07/07,59.164
07/07,59.392
07/07,59.62
07/07,59.848
07/07,60.076
07/07,60.304
07/07,60.532
07/07,60.76
07/07,60.76
07/07,60.17
07/07,60.345
07/07,60.52
07/07,60.6
07/07,60.68
07/07,60.64
07/07,60.6
07/07,60.865
07/07,60.9
07/07,60.87
07/07,60.81875000000001
07/07,60.77916666666668
07/07,60.73958333333334
07/07,60.52640625000001
07/07,60.595625
07/07,60.6178125
07/07,60.92
07/07,61.052
07/07,61.184
07/07,61.316
07/07,61.448
07/07,61.58
07/07,61.74
07/07,61.72
07/07,61.6525
07/07,61.5425
07/07,61.49
07/07,61.45
07/07,145.07
07/07,145.33
07/07,145.59894736842105
07/07,145.86789473684212
08/07,146.13684210526316
08/07,146.40578947368422
08/07,146.67473684210526
08/07,146.9436842105263
08/07,147.21263157894737
08/07,147.48157894736843
08/07,147.75052631578947
08/07,148.01947368421054
08/07,148.28842105263158
08/07,148.55736842105262
08/07,148.82631578947368
08/07,149.09526315789475
08/07,149.36421052631582
08/07,149.63315789473685
08/07,149.9021052631579
08/07,150.17105263157896
08/07,150.49
08/07,150.04
08/07,150.34
08/07,150.66
08/07,150.98000000000005
08/07,151.3
08/07,151.51
08/07,151.69
08/07,151.87
08/07,151.93
08/07,151.67
08/07,151.28
08/07,151.485
08/07,151.69
08/07,151.80666666666667
08/07,151.92333333333332
08/07,152.04
08/07,152.35
08/07,152.89
08/07,153.06
