Date,Balance,Price
2021-07-07 14:30:57.286588,0.0,0.0
2021-07-07 14:34:41.758530,0.0,0.0
2021-07-07 14:41:28.559752,0.0,0.0
2021-07-07 14:45:11.092545,0.0,0.0
2021-07-07 14:55:44.048814,0.0,0.0
2021-07-07 14:57:46.341049,0.0,0.0
2021-07-07 14:58:38.336303,0.0,0.0
2021-07-07 15:14:20.869230,0.0,0.0
2021-07-07 15:15:56.816634,0.0,0.0
2021-07-07 15:16:52.389455,0.0,0.0
2021-07-07 15:24:46.001324,0.0,0.0
2021-07-07 15:25:23.764802,0.0,0.0
2021-07-07 15:29:20.093019,0.0,0.0
2021-07-07 16:14:09.947915,0.0,0.0
2021-07-07 16:27:45.038217,0.0,0.0
2021-07-07 18:37:56.015567,0.0,0.0
2021-07-07 19:12:05.047412,0.0,0.0
2021-07-07 20:03:23.947425,0.0,0.0
2021-07-07 20:13:19.279173,0.0,0.0
2021-07-07 20:14:39.449755,0.0,0.0
2021-07-07 20:25:12.318110,0.0,0.0
2021-07-07 20:32:38.947667,0.0,0.0
2021-07-07 20:40:00.556629,0.0,0.0
2021-07-07 20:58:45.543964,0.0,0.0
2021-07-07 21:09:49.688628,0.0,0.0
2021-07-07 21:32:11.656973,0.0,0.0
2021-07-07 22:00:26.446014,0.0,0.3
2021-07-07 22:21:21.431417,0.0,0.3
2021-07-07 22:48:43.604739,0.0,0.3
2021-07-08 08:00:29.906928,2.0,0.3
2021-07-08 08:25:23.310225,2.0,0.3
2021-07-08 08:40:35.973896,2.0,0.3
2021-07-08 08:46:04.900636,2.0,0.3
2021-07-08 08:56:40.778303,2.0,0.3
2021-07-08 08:59:43.816027,2.0,0.3
2021-07-08 09:08:50.893118,2.0,0.3
2021-07-08 09:10:00.391540,2.0,0.3
2021-07-08 09:25:25.230164,2.0,0.3
2021-07-08 10:37:41.590852,2.0,0.3
2021-07-08 11:27:56.649632,2.0,0.3
2021-07-08 12:25:44.033823,2.0,0.3
2021-07-08 12:55:28.043798,2.0,0.3
2021-07-08 13:25:39.069153,2.0,0.3
2021-07-08 13:55:30.779442,2.0,0.3
2021-07-08 14:55:33.410674,2.0,0.3
2021-07-08 16:25:27.965916,2.0,0.3
2021-07-08 16:55:24.223204,2.0,0.3
2021-07-08 17:26:56.113039,2.0,0.3
2021-07-08 17:55:22.767812,2.0,0.3
2021-07-08 18:05:43.854995,2.0,0.3
2021-07-08 18:25:59.391456,2.0,0.3
2021-07-08 18:31:11.685465,2.0,0.3
2021-07-08 18:37:58.970754,2.0,0.3
2021-07-08 18:39:35.732838,2.0,0.3
2021-07-08 19:04:15.921009,2.0,0.3
2021-07-08 19:55:23.383099,2.0,0.3
2021-07-08 20:25:41.380419,2.0,0.3
2021-07-08 20:33:11.211499,2.0,0.3
2021-07-08 20:37:44.907688,2.0,0.3
2021-07-08 21:55:01.713520,2.0,0.3
2021-07-08 21:55:42.551666,2.0,0.3
2021-07-09 07:48:21.655137,2.0,0.3
2021-07-09 07:56:43.275969,2.0,0.3
2021-07-09 07:58:10.255740,2.0,0.25
2021-07-09 09:11:31.655608,2.0,0.25
2021-07-09 09:55:23.933766,2.0,0.25
2021-07-09 10:55:24.832703,2.0,0.25
2021-07-09 12:22:30.731472,2.0,0.25
2021-07-09 12:25:23.161845,2.0,0.25
2021-07-09 13:55:26.935735,4.0,0.25
2021-07-09 16:37:11.454608,4.0,0.25
2021-07-09 16:50:36.307412,4.0,0.25
2021-07-09 16:53:11.306178,4.0,0.25
2021-07-09 16:54:29.090765,4.0,0.25
2021-07-09 17:23:37.214667,4.0,0.25
2021-07-09 18:01:30.628016,4.0,0.25
2021-07-09 18:11:50.041161,4.0,0.25
2021-07-09 18:12:50.443867,4.0,0.25
2021-07-09 18:14:23.385666,4.0,0.25
