Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Value_Pounds,Change_in_Value
04/07,0.17572000000000002,297.23,,,50.7004916,36.59003892522204,
04/07,0.17572000000000002,297.33,,0.0,50.7004916,36.59003892522204,0.0
04/07,0.17572000000000002,296.19,,0.0,50.7004916,36.59003892522204,0.0
04/07,0.17572000000000002,296.27,,0.0,50.7004916,36.59003892522204,0.0
04/07,0.17572000000000002,296.15,,0.0,50.7004916,36.59003892522204,0.0
04/07,0.17572000000000002,296.13,,0.0,50.7004916,36.59003892522204,0.0
04/07,0.17572000000000002,296.31,,0.0,50.7004916,36.59003892522204,0.0
04/07,0.17572000000000002,296.47,,0.0,50.7004916,36.59003892522204,0.0
04/07,0.17625,296.24,,0.0005299999999999749,50.85341249999999,36.70040041298875,0.15700719999999257
04/07,0.17625,296.2,,0.0,50.85341249999999,36.70040041298875,0.0
04/07,0.17625,297.04,,0.0,50.85341249999999,36.70040041298875,0.0
04/07,0.17625,296.75,,0.0,50.85341249999999,36.70040041298875,0.0
04/07,0.17678,297.48,0.6032324152059898,0.0005300000000000027,51.006333399999995,36.81076190075547,0.15766440000000082
04/07,0.17678,297.37,0.6032324152059898,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,297.67,0.6032324152059898,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,297.59,0.6032324152059898,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,297.44,0.6032324152059898,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,297.24,0.6032324152059898,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,296.63,0.6032324152059898,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,296.4,0.6032324152059898,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.83,0.300709219858164,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.7,0.300709219858164,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.71,0.300709219858164,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.59,0.300709219858164,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.82,0.0,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.19,0.0,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.23,0.0,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.17,0.0,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.69,0.0,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.44,0.0,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.38,0.0,0.0,51.006333399999995,36.81076190075547,0.0
04/07,0.17678,295.35,0.0,0.0,51.006333399999995,36.81076190075547,0.0
05/07,0.17727,295.15,0.2771806765471396,0.0004900000000000182,51.1477131,36.91279421963414,0.14462350000000537
05/07,0.17727,290.62,0.2771806765471396,0.0,51.1477131,36.91279421963414,0.0
05/07,0.17727,288.84,0.2771806765471396,0.0,51.1477131,36.91279421963414,0.0
05/07,0.17777,288.94,0.5600181015952055,0.0005000000000000004,51.2919781,37.01690883073481,0.14447000000000013
05/07,0.17927,286.05,1.4085303767394697,0.0015000000000000013,51.7247731,37.32925266403685,0.4290750000000004
05/07,0.18106,288.94,2.421088358411594,0.001789999999999986,52.2412418,37.70198297177727,0.517202599999996
05/07,0.18328,288.64,3.6768865256250782,0.0022199999999999998,52.881778399999995,38.16425184506428,0.6407807999999999
05/07,0.18328,288.64,3.6768865256250782,0.0,52.881778399999995,38.16425184506428,0.0
05/07,0.18399000000000001,288.53,4.07851566919335,0.0007100000000000162,53.0866347,38.312094592827236,0.20485630000000465
