Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Value_Pounds,Change_in_Value
04/07,0.17572000000000002,297.23,,,50.681162400000005,36.58622447980995,
04/07,0.17572000000000002,297.33,,0.0,50.681162400000005,36.58622447980995,0.0
04/07,0.17572000000000002,296.19,,0.0,50.681162400000005,36.58622447980995,0.0
04/07,0.17572000000000002,296.27,,0.0,50.681162400000005,36.58622447980995,0.0
04/07,0.17572000000000002,296.15,,0.0,50.681162400000005,36.58622447980995,0.0
04/07,0.17572000000000002,296.13,,0.0,50.681162400000005,36.58622447980995,0.0
04/07,0.17572000000000002,296.31,,0.0,50.681162400000005,36.58622447980995,0.0
04/07,0.17572000000000002,296.47,,0.0,50.681162400000005,36.58622447980995,0.0
04/07,0.17625,296.24,,0.0005299999999999749,50.834025,36.69657446259107,0.15700719999999257
04/07,0.17625,296.2,,0.0,50.834025,36.69657446259107,0.0
04/07,0.17625,297.04,,0.0,50.834025,36.69657446259107,0.0
04/07,0.17625,296.75,,0.0,50.834025,36.69657446259107,0.0
04/07,0.17678,297.48,0.6032324152059898,0.0005300000000000027,50.9868876,36.806924445372196,0.15766440000000082
04/07,0.17678,297.37,0.6032324152059898,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,297.67,0.6032324152059898,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,297.59,0.6032324152059898,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,297.44,0.6032324152059898,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,297.24,0.6032324152059898,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,296.63,0.6032324152059898,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,296.4,0.6032324152059898,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.83,0.300709219858164,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.7,0.300709219858164,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.71,0.300709219858164,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.59,0.300709219858164,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.82,0.0,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.19,0.0,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.23,0.0,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.17,0.0,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.69,0.0,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.44,0.0,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.38,0.0,0.0,50.9868876,36.806924445372196,0.0
04/07,0.17678,295.35,0.0,0.0,50.9868876,36.806924445372196,0.0
05/07,0.17727,295.15,0.2771806765471396,0.0004900000000000182,51.12821340000001,36.908946127566075,0.14462350000000537
05/07,0.17727,290.62,0.2771806765471396,0.0,51.12821340000001,36.908946127566075,0.0
05/07,0.17727,288.84,0.2771806765471396,0.0,51.12821340000001,36.908946127566075,0.0
05/07,0.17777,288.94,0.5600181015952055,0.0005000000000000004,51.27242340000001,37.013049884906756,0.14447000000000013
05/07,0.17927,286.05,1.4085303767394697,0.0015000000000000013,51.705053400000004,37.32536115692881,0.4290750000000004
05/07,0.18106,288.94,2.421088358411594,0.001789999999999986,52.2213252,37.69805260820845,0.517202599999996
05/07,0.18328,288.64,3.6768865256250782,0.0022199999999999998,52.8616176,38.160273290801086,0.6407807999999999
05/07,0.18328,288.64,3.6768865256250782,0.0,52.8616176,38.160273290801086,0.0
05/07,0.18399000000000001,288.53,4.07851566919335,0.0007100000000000162,53.06639580000001,38.308100626224864,0.20485630000000465
05/07,0.18399,290.07,4.07851566919335,-2.7755575615628914e-17,53.0663958,38.308100626224864,-8.051059818825479e-15
05/07,0.18466,288.42,4.4575178187577835,0.0006700000000000039,53.2596372,38.447599661061375,0.19324140000000115
